grandrapids,43.031413,-85.550267
holland,42.985596,-86.444751
jackson,32.300996,-90.18859
kalamazoo,42.26549,-85.61098
lansing,42.734434,-84.52497
monroe,41.323547,-74.19531
muskegon,43.198048,-86.22774
annarbor,42.253502,-83.836571
porthuron,42.978974,-82.44402
saginaw,43.863845,-122.99879
kalamazoo,42.26549,-85.61098
porthuron,42.978974,-82.44402
midland,43.538252,-84.387753
bemidji,47.504496,-94.87105
baxter,36.127733,-85.64636
duluth,46.753414,-92.24355
mankato,44.15644,-93.99388
minneapolis,45.108581,-93.33988
rochester,43.988708,-92.42937
marshall,32.522659,-94.389476
saintcloud,45.52886,-94.593338
gulfport,30.415795,-89.068448
hattiesburg,31.356642,-89.382415
jacksonville,34.879419,-92.12244
meridian,32.337389,-88.726474
tupelo,34.272374,-88.6822
natchez,31.470602,-91.404404
columbia,38.953238,-92.320783
joplin,37.09416,-94.50169
kansascity,39.035038,-94.356728
kirksville,40.183335,-92.58341
salem,37.282124,-88.24568
alton,39.461403,-98.95757
springfield,42.119943,-72.604983
saintjoseph,45.582653,-94.32974
saintlouis,38.622601,-90.26182
billings,45.778852,-108.5742
bozeman,45.707153,-110.9878
butte,45.905345,-112.637705
greatfalls,47.476152,-111.26909
helena,46.696501,-111.96895
kalispell,48.22372,-114.429648
missoula,46.910342,-113.958686
helena,46.696501,-111.96895
grandisland,40.916866,-98.38749
lincoln,44.725546,-83.43887
northplatte,41.046447,-100.746912
omaha,41.177298,-96.18662
scottsbluff,41.885553,-103.65241
elko,40.883028,-115.75016
lasvegas,36.204548,-115.31207
reno,40.541218,-119.586934
manchester,39.544196,-90.32677
trenton,40.280531,-74.712018
edison,40.310905,-99.7648
jerseycity,40.73276,-74.075485
camden,30.907239,-94.7312
albuquerque,35.044339,-106.672872
clovis,36.813456,-119.70826
farmington,33.775001,-83.42456
lascruces,32.312506,-106.70306
roswell,33.485178,-104.55089
santafe,35.615216,-105.952788
albany,42.71815,-89.44315
binghamton,42.105375,-75.8876
